segment_id,segment_name,department_id,department_name,category_id,category_name,subcategory_id,subcategory_name
82799,Beauty/Personal Care/Hygiene,82850,Personal Hygiene Products,82971,Oral Hygiene,83524,Breath Fresheners/Mouth Rinses
82799,Beauty/Personal Care/Hygiene,82850,Personal Hygiene Products,82971,Oral Hygiene,83615,Dental Cleansing
82799,Beauty/Personal Care/Hygiene,82850,Personal Hygiene Products,82971,Oral Hygiene,83920,Oral Hygiene Other
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,82888,Body Washing,83496,Bath Additives
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,82888,Body Washing,98220,Bath Accessories
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,82888,Body Washing,83518,Body Washing Other
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,82888,Body Washing,83593,Cleansing/Washing/Soap - Body
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,82888,Body Washing,84217,Wipes - Personal
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,83448,After Shave Care
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,83449,After Sun Moisturisers
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,83592,Cleansers/Cosmetics Removers (Non Powered)
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,83657,Exfoliants/Masks
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,83868,Lip Balms
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,84052,Skin Care Other
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,96962,Coconut Oil Topical
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,84053,Skin Care/Moisturising Products
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,84054,Skin Drying Powder
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83002,Skin Care,84160,Toners/Astringents
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83003,Skin Tanning Products,84144,Sun Protection Products
82799,Beauty/Personal Care/Hygiene,82856,Skin Products,83003,Skin Tanning Products,84145,Sunless Tanning - Topical
87605,Camping,87606,Camping,87607,Camping Cooking/Drinking/Eating Equipment,87609,Lunch Boxes and Bags
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82896,Cleaners,83530,Bulk
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82896,Cleaners,83590,Cleaners Other
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82896,Cleaners,96980,Produce Wash
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82896,Cleaners,83591,Cleaning Accessories
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82896,Cleaners,83628,Dish Cleaning/Care - Automatic
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82896,Cleaners,83629,Dish Cleaning/Care - Hand
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82896,Cleaners,83949,Paper Towels
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82896,Cleaners,84146,Surface Cleaners
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82924,Fresheners/Deodorisers,83450,Air Fresheners/Deodorisers (Non Powered)
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82924,Fresheners/Deodorisers,83692,Fresheners/Deodorisers Other
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82949,Laundry,83624,Detergent Boosters/Laundry Bleaches
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82949,Laundry,83662,Fabric Softeners/Conditioners
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82949,Laundry,83857,Laundry Detergents
82800,Cleaning/Hygiene Products,82823,Cleaning Products,82949,Laundry,83858,Laundry Other
